"pc.comp1","pc.comp2"
11734.5339725288,-23115.6848330598
25818.7997029001,-2276.57027959772
11049.3539132921,17848.5067244663
11078.0702086938,-27317.6234351374
-42687.6363315899,-4739.03595833885
20240.8643380401,5098.7645127016
24623.8378139181,-2612.87839507116
-17514.7059920623,4283.72553575869
7311.1310577405,-13884.3032931182
-8454.16162229263,14114.2990570672
25109.0438341223,-3282.88733606912
18269.1620210243,6363.43853030036
16677.8494049013,-1857.28186380768
-11476.5513125328,13084.6483041236
-10621.1366493956,8245.96022142946
-43040.1468598271,-3377.21499775118
-26986.0068640243,2072.31431749082
2781.50398018621,-1620.48907708197
-4619.74875046681,-5859.71439710972
4619.04584404381,-8204.52081426316
19444.344741348,18447.0611822756
13497.2734930622,6189.10175053053
-32064.7271957903,-1942.15334200389
-8105.53037021882,-2197.25212891484
13218.6216658669,8986.82204610188
4296.55698658265,-15579.547192958
19534.2402134376,6566.83005864891
4308.63141232844,21413.4103587877
16505.0521026799,4150.02306347766
27575.6700588824,-5786.2755093317
24020.8132600778,-523.557186922871
-39499.6691787821,-580.444035920805
-11945.2609606155,-11574.8415525505
23287.5621798671,-2001.02305115307
-22721.3025705558,4954.42601243268
-22212.9723785621,8435.94690067376
16075.1985842272,-658.923273798117
-27627.8490953223,5804.50516798576
20729.1372653603,4096.95131036586
942.369038746096,-17530.4800601292
-35241.9485783492,-793.551190551142
9666.76576668683,-17816.1499182511
21703.4084173562,567.259438736533
-40277.4576096132,-3050.09151741939
3866.34978669529,18901.8719555344
-17466.2736088491,10513.3477350654
-1798.94066572795,16860.965363985
-29616.8250083083,4893.55183125802
-18501.7746385093,6783.30465325427
4280.90019253097,-11498.5185923663
-32497.9299491535,-1745.18827383843
2866.84753931844,13460.7404241005
19198.441135084,5240.41688567618
11568.2731683492,19347.8738427116
5017.39828837203,-13237.8046520312
-23886.2260273109,2562.02058594935
-40507.2747494436,-4423.25272357551
-3326.5983819144,13364.7068198721
4828.33292596149,-11032.0093876343
20867.4659722802,1672.76786382082
14287.9776076421,10791.1303852924
18086.076311523,1924.11731776136
17990.7172049602,3856.32799131998
-43302.4800000218,-1998.60863675987
-41736.9007863762,-3441.98901718904
22335.0641159671,-1450.10142955204
8643.41058804665,-14378.1729932979
-32793.1084213089,-2900.37821050281
3704.74680671758,17420.5107404761
-29992.5560991661,2572.89896989512
22008.3415396644,-1714.20758474147
-32202.6042176894,-331.798606043627
-23252.5726109547,9930.97126717324
11297.717119099,-23329.7032728513
11444.5000868378,-20689.6457833039
-7661.09176917911,15736.351207071
-22556.0096174964,10113.4183944722
26254.371330773,-3131.1377138032
-35975.4762828831,-730.034046169805
21869.7868559133,1613.43259217566
-6219.43426495308,-4999.60979175147
22665.442587821,2615.3421939804
18763.6247525474,12193.4366828153
11426.9804985606,27923.1915280409
-16520.5939186391,8389.26295462935
4650.05730673608,6517.42269484439
2876.23668769816,-11518.3391436363
23355.6144669237,746.059504778938
20062.9340356001,5353.63156165544
10588.2796511256,9102.72612563496
5927.90130290196,27869.4676126763
-21926.7096530959,5026.03317644826
-30018.8972447345,1642.32532929827
16086.9403626304,686.731667695112
-4982.4714695463,4784.95497817997
-7911.55177934864,-305.39908798927
6598.73840122537,-11379.6805230743
23482.8864942702,-1487.83793894736
9447.29320980391,-23548.1280442233
11838.7604996677,20096.6819421439
-6539.29947413615,14646.2096323166
4504.55643030509,3710.20558917308
8874.56033464096,-17634.2757751892
-19923.5717803013,2673.7579469375
21834.719671281,-401.673466380592
18318.3115697931,790.355146321078
21259.7159987025,3258.65089757089
-31946.0473623808,-2038.81769270823
10471.2763559925,-21665.0228843194
-6053.29679506689,-416.676723579127
-13616.5139833799,-14616.8113865669
21364.3307902682,-2499.13272891602
-34155.9305902325,3306.49874584565
18902.1670422407,-650.954266448798
12423.4430565678,-19692.8406845842
